scene_id,date,dekad,pid,VV_dn,VH_dn
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,28,119.78,74.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,29,111.11,80.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,30,138.11,86.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,31,120.33,60.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,32,159.11,66.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,33,152.78,97.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,34,95.89,47.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,35,132.78,103.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,36,153.67,67.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,37,204.67,103.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,38,181.56,119.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,39,162.0,88.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,40,197.56,100.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,41,138.44,63.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,42,132.67,80.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,43,151.22,92.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,44,110.11,58.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,45,118.0,75.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,46,69.0,38.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,47,99.89,48.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,48,101.89,39.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,49,131.67,56.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,50,175.56,99.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,51,111.89,58.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,52,88.89,67.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,53,174.44,105.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,54,116.67,57.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,55,131.89,55.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,56,124.11,62.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,57,166.44,67.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,58,153.0,67.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,59,136.78,70.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,60,120.44,62.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,61,127.22,52.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,62,162.78,85.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,63,117.89,32.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,64,76.78,35.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,65,99.56,43.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,66,92.33,47.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,67,139.78,92.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,68,91.33,73.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,69,105.89,78.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,70,86.0,53.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,71,114.89,67.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,72,81.67,39.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,73,114.11,40.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,74,179.44,65.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,75,114.78,70.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,76,161.33,91.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,77,159.89,79.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,78,204.11,101.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,79,167.78,73.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,80,135.33,73.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,81,163.67,101.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,82,161.33,72.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,83,197.89,89.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,84,174.11,98.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,85,147.22,93.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,86,130.33,81.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,87,144.0,60.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,88,152.0,106.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,89,113.56,58.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,90,275.44,103.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,91,139.0,66.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,92,226.67,124.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,93,153.78,93.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,94,148.67,89.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,95,119.78,60.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,96,170.67,95.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,97,100.33,82.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,98,82.67,48.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,99,126.89,47.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,100,209.44,75.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,101,146.11,79.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,102,80.67,50.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,103,140.89,71.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,104,151.44,63.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,105,140.89,71.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,106,137.22,69.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,107,137.33,88.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,108,190.89,87.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,109,128.0,73.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,110,106.44,75.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,111,122.11,70.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,112,103.44,56.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,113,167.11,64.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,114,164.44,107.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,115,177.11,80.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,116,151.22,56.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,117,142.56,50.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,118,125.33,64.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,119,183.33,100.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,120,101.0,65.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,121,98.89,55.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,122,108.33,75.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,123,144.67,51.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,124,172.44,73.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,125,190.44,86.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,126,135.11,54.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,127,157.33,48.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,128,134.0,79.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,129,172.89,87.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,130,195.22,93.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,131,118.56,73.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,132,183.0,97.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,133,208.56,66.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,134,249.44,56.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,135,111.44,52.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,136,183.78,110.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,137,182.22,83.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,138,168.89,73.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,139,165.33,64.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,140,38.33,32.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,141,144.67,86.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,142,169.56,83.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,143,59.33,49.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,144,155.33,68.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,145,127.0,79.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,146,173.56,82.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,147,129.44,72.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,148,151.22,76.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,149,142.67,68.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,150,160.78,109.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,151,111.0,55.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,152,171.0,104.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,153,152.0,67.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,154,168.0,81.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,155,182.33,96.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,156,144.44,72.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,157,144.22,52.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,158,153.56,96.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,159,184.0,93.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,160,117.78,68.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,161,213.0,74.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,162,142.11,67.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,163,191.67,88.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,164,145.44,85.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,165,111.22,67.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,166,107.22,67.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,167,107.44,49.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,168,91.22,54.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,169,111.78,69.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,170,39.22,40.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,171,60.0,39.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,172,279.0,90.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,173,138.33,53.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,174,143.78,84.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,175,173.22,63.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,176,105.78,56.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,177,141.11,76.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,178,137.56,65.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,179,165.44,65.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,187,147.56,82.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,188,124.89,89.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,189,138.0,91.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,191,136.11,51.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,192,126.44,63.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,193,141.0,71.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,194,220.56,76.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,195,150.56,72.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,196,90.0,89.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,197,215.0,73.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,198,114.0,82.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,284,103.56,68.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,699,223.0,131.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,700,92.44,56.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,701,144.89,65.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,702,137.89,73.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,703,99.78,79.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,704,147.0,67.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,705,115.11,71.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,706,306.33,107.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,707,106.89,67.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,708,137.89,74.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,709,152.78,74.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,710,109.22,59.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,711,118.22,44.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,712,127.89,71.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,713,148.56,64.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,714,158.89,80.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,715,108.67,77.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,716,117.56,71.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,717,222.33,117.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,718,199.44,68.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,719,204.56,63.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,720,147.44,62.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,721,140.11,62.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,722,121.89,97.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,723,156.67,85.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,724,172.33,68.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,725,196.11,64.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,726,182.22,84.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,727,179.33,66.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,728,142.89,64.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,729,141.22,67.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,730,161.89,65.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,731,136.89,64.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,732,102.89,57.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,733,112.56,54.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,734,115.67,74.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,735,102.33,73.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,736,146.78,63.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,737,155.78,62.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,738,241.22,63.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,739,171.44,80.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,740,96.22,51.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,741,160.67,83.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,742,148.33,93.89
